2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:03:01 ts:1561446181456 id:1561446180 amount:0.12866462026991268 open:11336.01 close:11337.0 low:11336.01 high:11337.0 count:8 vol:1458.544213
2019/06/25 15:03:01 ts:1561446181458 id:1561446180 amount:0.29686462026991267 open:11336.01 close:11336.02 low:11336.01 high:11337.0 count:10 vol:3365.262777
2019/06/25 15:03:01 ts:1561446181533 id:1561446180 amount:0.2971646202699127 open:11336.01 close:11336.02 low:11336.01 high:11337.0 count:11 vol:3368.663583
2019/06/25 15:03:01 ts:1561446181861 id:1561446180 amount:0.29725282710435463 open:11336.01 close:11336.99 low:11336.01 high:11337.0 count:12 vol:3369.663583
2019/06/25 15:03:02 ts:1561446182028 id:1561446180 amount:0.2973410414864746 open:11336.01 close:11336.02 low:11336.01 high:11337.0 count:13 vol:3370.663583
2019/06/25 15:03:02 ts:1561446182415 id:1561446180 amount:0.32380398345185074 open:11336.01 close:11336.99 low:11336.01 high:11337.0 count:15 vol:3670.673583
2019/06/25 15:03:02 ts:1561446182464 id:1561446180 amount:0.3321039834518507 open:11336.01 close:11336.03 low:11336.01 high:11337.0 count:16 vol:3764.762632
2019/06/25 15:03:02 ts:1561446182479 id:1561446180 amount:0.3331039834518507 open:11336.01 close:11336.01 low:11336.01 high:11337.0 count:17 vol:3776.098642
2019/06/25 15:03:02 ts:1561446182595 id:1561446180 amount:0.33319219791178856 open:11336.01 close:11336.01 low:11336.01 high:11337.0 count:18 vol:3777.098642
2019/06/25 15:03:02 ts:1561446182636 id:1561446180 amount:0.38509219791178856 open:11336.01 close:11336.01 low:11336.01 high:11337.0 count:19 vol:4365.437561
2019/06/25 15:03:02 ts:1561446182705 id:1561446180 amount:0.3894921979117886 open:11336.01 close:11336.01 low:11336.01 high:11337.0 count:20 vol:4415.316005
2019/06/25 15:03:03 ts:1561446182943 id:1561446180 amount:0.3897921979117886 open:11336.01 close:11336.0 low:11336.0 high:11337.0 count:21 vol:4418.716805
2019/06/25 15:03:03 ts:1561446183461 id:1561446180 amount:0.3899921979117886 open:11336.01 close:11336.09 low:11336.0 high:11337.0 count:22 vol:4420.984023
2019/06/25 15:03:03 ts:1561446183463 id:1561446180 amount:0.3901686115806726 open:11336.01 close:11337.0 low:11336.0 high:11337.0 count:24 vol:4422.984023
2019/06/25 15:03:03 ts:1561446183486 id:1561446180 amount:0.8901686115806726 open:11336.01 close:11336.01 low:11336.0 high:11337.0 count:26 vol:10090.992591
2019/06/25 15:03:04 ts:1561446184332 id:1561446180 amount:0.8902568183373102 open:11336.01 close:11337.0 low:11336.0 high:11337.0 count:27 vol:10091.992591
2019/06/25 15:03:04 ts:1561446184448 id:1561446180 amount:1.06575681833731 open:11336.01 close:11337.0 low:11336.0 high:11337.0 count:28 vol:12081.636091
2019/06/25 15:03:04 ts:1561446184497 id:1561446180 amount:1.0658450251717522 open:11336.01 close:11336.99 low:11336.0 high:11337.0 count:29 vol:12082.636091
2019/06/25 15:03:04 收到ping消息: {'ping': 1561446184536}
